Idents	DN_CellType
0	OTP+ RAX+ DNs
1	OTP- DNs
2	OTP+ RAX+ DNs
3	OTP+ RAX+ DNs
4	OTP+ DNs
5	OTP+ RAX+ DNs
6	OTP- DNs
7	OTP+ DNs
8	KISS1-like Neurons
