Original_Cluster	resolution	Cluster	Annotation
18	0.2	0	GABAergic Neurons
18	0.2	1	NTS Neurons
21	0.4	0	Glutamatergic Neurons
21	0.4	1	TAC1 Neurons
22	0.6	0	MCH Neurons
22	0.6	1	HCRT Neurons
22	0.6	2	MCH Neurons
27	0.03	0	POMC Neurons
27	0.03	1	SST Neurons
